ap,auc,dataset,path,type,name,query_index,lag_normalized_inverted
0.6898113791,0.9355400697,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),3,0.927592955
0.125,0.9204545455,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),4,0.904109589
0.065625,0.591954023,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),5,0.5136986301
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),6,1
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),7,1
0.4666666667,0.9728682171,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),8,0.9680365297
0.1111111111,0.9090909091,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),9,0.8904109589
0.6226190476,0.9076305221,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),10,0.8949771689
0.2979363528,0.7550200803,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),11,0.7214611872
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),12,1
0.5526315789,0.9022988506,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),13,0.8835616438
0.2849502679,0.5627530364,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),14,0.5447839831
0.30876771,0.8995983936,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),15,0.8858447489
0.25,0.9659090909,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),16,0.9589041096
0.7713675214,0.9718875502,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),17,0.9680365297
0.2319424788,0.548582996,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),18,0.5300316122
0.2915297532,0.6821862348,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),19,0.6691253952
0.2856111391,0.6881533101,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),20,0.6497064579
0.2192982456,0.8908045977,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),21,0.8698630137
0.3338630249,0.5263157895,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),22,0.5068493151
0.5,0.9827586207,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),23,0.9794520548
0.3727439114,0.6457489879,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),24,0.6311907271
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),25,1
0.3777210112,0.6366396761,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),26,0.6217070601
0.3333333333,0.9772727273,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),27,0.9726027397
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),28,1
0.1111111111,0.9090909091,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),29,0.8904109589
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),30,1
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),31,1
0.1428571429,0.9318181818,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),32,0.9178082192
0.3436147331,0.6923076923,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),33,0.679662803
0.5,0.9886363636,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),34,0.9863013699
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),35,1
0.5263157895,0.7931034483,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),36,0.7534246575
0.5,0.9827586207,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),37,0.9794520548
0.6023809524,0.9285714286,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),38,0.9197651663
0.5566423121,0.8257839721,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),39,0.8043052838
0.5042735043,0.8902439024,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),40,0.8767123288
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),0,1
0.925,0.9625,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),1,0.9917808219
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),2,1
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),3,1
0.9666666667,0.9875,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),4,0.997260274
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),5,1
0.6969230769,0.825,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),6,0.9616438356
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),7,1
0.6111111111,0.8157894737,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),8,0.9520547945
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),9,1
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),10,1
0.8766666667,0.9625,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),11,0.9917808219
0.2,0.8,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),12,0.9452054795
0.5,0.9210526316,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),13,0.9794520548
0.7,0.9210526316,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),14,0.9794520548
0.7166666667,0.6851851852,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),15,0.9223744292
0.8766666667,0.9625,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),16,0.9917808219
0.3269230769,0.6842105263,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),17,0.9178082192
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),18,1
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),19,1
0.45,0.8947368421,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),20,0.9726027397
0.8333333333,0.9736842105,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),21,0.9931506849
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),22,1
0.0588235294,0.2,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),23,0.7808219178
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),24,1
0.5,0.95,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),25,0.9863013699
0.75,0.9473684211,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),26,0.9863013699
0.1409090909,0.5263157895,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),27,0.8767123288
0.2158119658,0.5740740741,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),28,0.8949771689
0.1555555556,0.5789473684,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),29,0.8904109589
0.1458333333,0.5526315789,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),30,0.8835616438
0.75,0.9473684211,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),31,0.9863013699
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),32,1
0.8333333333,0.9444444444,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),33,0.9863013699
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),34,1
0.1666666667,0.75,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),35,0.9315068493
0.8711111111,0.9375,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),36,0.9863013699
0.8333333333,0.9736842105,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),37,0.9931506849
1,1,WARC,2->1->0,HYBRID,(o (PCA) ((. (LSI NT) (2 0)) (x (PCA INDEPENDENT) ((. (LSI NT) (2 1)) (. (LSI NT) (1 0)))))),38,1
0.3032411437,0.6455599473,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),0,0.6622049221
0.2925524451,0.6160210804,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),1,0.6340532396
0.3953378827,0.6468774704,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),2,0.6634605726
0.3786092792,0.655942029,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),3,0.6720994475
0.4146044228,0.6609354414,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),4,0.6767453541
0.419339555,0.6450329381,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),5,0.661702662
0.4145407161,0.657944664,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),6,0.6740080362
0.4071913378,0.6611594203,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),7,0.6770718232
0.4045262359,0.6554677207,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),8,0.6716474134
0.3021389275,0.5942555995,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),9,0.6133098945
0.4239474057,0.6369433465,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),10,0.6539929684
0.4172741439,0.6855862978,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),11,0.7003515821
0.3848497029,0.6438998682,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),12,0.6606228026
0.0043859649,0.5,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),13,0.3729281768
0.4205996055,0.6839525692,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),14,0.6987945756
0.3454600074,0.6664822134,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),15,0.6821446509
0.2985669066,0.5994729908,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),16,0.6183324962
0.467686523,0.9206404455,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),17,0.9031024224
0.4023356768,0.6585770751,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),18,0.6746107484
0.3900933592,0.6497233202,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),19,0.6661727775
0.4180756674,0.675942029,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),20,0.691160221
0.4091717433,0.6562318841,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),21,0.6723756906
0.4444235588,0.6833992095,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),22,0.6982672024
0.447976558,0.7008432148,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),23,0.7148920141
0.4130375292,0.6927536232,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),24,0.7071823204
0.4262964459,0.6954677207,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),25,0.7097689603
0.2,0.9911894273,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),26,0.9889502762
0.4469502018,0.7241897233,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),27,0.7371421396
0.4492947824,0.7340974967,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),28,0.7465846308
0.3931076286,0.6981291173,Drone,0->1->2,HYBRID,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM NT) (1 2)))))),29,0.7123053742
0.3491489763,0.6175757576,Drone,1->0->2,HYBRID,(o (MAX) ((. (VSM NT) (1 2)) (x (SUM GLOBAL) ((. (VSM NT) (1 0)) (. (VSM NT) (0 2)))))),0,0.6355349071
0.3105188283,0.6345981555,Drone,1->0->2,HYBRID,(o (MAX) ((. (VSM NT) (1 2)) (x (SUM GLOBAL) ((. (VSM NT) (1 0)) (. (VSM NT) (0 2)))))),1,0.6517579106
0.3412392219,0.590513834,Drone,1->0->2,HYBRID,(o (MAX) ((. (VSM NT) (1 2)) (x (SUM GLOBAL) ((. (VSM NT) (1 0)) (. (VSM NT) (0 2)))))),2,0.6097438473
